Area,Area Id,Variable Name,Variable Id,Year,Value,Symbol,Md
Colombia,44,Gross Domestic Product (GDP),4112,2012,3.70E+11,E,
Colombia,44,Gross Domestic Product (GDP),4112,2015,2.92E+11,E,
Colombia,44,GDP per capita,4458,1982,1342,E,
Colombia,44,GDP per capita,4458,1987,1125,E,
Colombia,44,GDP per capita,4458,1992,1386,E,
Colombia,44,GDP per capita,4458,1997,2769,E,
Colombia,44,GDP per capita,4458,2002,2356,E,
Colombia,44,GDP per capita,4458,2007,4665,E,
Colombia,44,GDP per capita,4458,2012,7892,E,
Colombia,44,GDP per capita,4458,2015,6054,E,
Colombia,44,"Agriculture, value added (% GDP)",4113,1982,19.3,E,
Colombia,44,"Agriculture, value added (% GDP)",4113,1987,18.72,E,
Colombia,44,"Agriculture, value added (% GDP)",4113,1992,15.8,E,
Colombia,44,"Agriculture, value added (% GDP)",4113,1997,13.71,E,
Colombia,44,"Agriculture, value added (% GDP)",4113,2002,9.2,E,
Colombia,44,"Agriculture, value added (% GDP)",4113,2007,7.83,E,
Colombia,44,"Agriculture, value added (% GDP)",4113,2012,6.327,E,
Colombia,44,"Agriculture, value added (% GDP)",4113,2015,6.827,E,
Colombia,44,Human Development Index (HDI) [highest = 1],4111,1990,0.596,E,
Colombia,44,Human Development Index (HDI) [highest = 1],4111,2000,0.6542,E,
Colombia,44,Human Development Index (HDI) [highest = 1],4111,2012,0.715,E,
Colombia,44,Human Development Index (HDI) [highest = 1],4111,2014,0.7202,E,
Colombia,44,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2000,0.522,E,
Colombia,44,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2005,0.506,E,
Colombia,44,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2010,0.466,E,
Colombia,44,Gender Inequality Index (GII) [equality = 0; inequality = 1),4537,2014,0.4285,E,
Colombia,44,Prevalence of undernourishment (3-year average),4474,1992,14.6,E,
Colombia,44,Prevalence of undernourishment (3-year average),4474,1997,10.2,E,
Colombia,44,Prevalence of undernourishment (3-year average),4474,2002,9.6,E,
Colombia,44,Prevalence of undernourishment (3-year average),4474,2007,9.7,E,
Colombia,44,Prevalence of undernourishment (3-year average),4474,2012,11.2,E,
Colombia,44,Prevalence of undernourishment (3-year average),4474,2016,8.8,E,
Colombia,44,Number of people undernourished (3-year average),4473,1992,5000,E,
Colombia,44,Number of people undernourished (3-year average),4473,1997,3800,E,
Colombia,44,Number of people undernourished (3-year average),4473,2002,3900,E,
Colombia,44,Number of people undernourished (3-year average),4473,2007,4200,E,
Colombia,44,Number of people undernourished (3-year average),4473,2012,5300,E,
Colombia,44,Number of people undernourished (3-year average),4473,2016,4400,E,
Colombia,44,Long-term average annual precipitation in depth,4151,1982,3240,,[1]
Colombia,44,Long-term average annual precipitation in depth,4151,1987,3240,,[2]
Colombia,44,Long-term average annual precipitation in depth,4151,1992,3240,,[3]
Colombia,44,Long-term average annual precipitation in depth,4151,1997,3240,,[4]
Colombia,44,Long-term average annual precipitation in depth,4151,2002,3240,,[5]
Colombia,44,Long-term average annual precipitation in depth,4151,2007,3240,,[6]
Colombia,44,Long-term average annual precipitation in depth,4151,2012,3240,,[7]
Colombia,44,Long-term average annual precipitation in depth,4151,2014,3240,,[8]
Colombia,44,Long-term average annual precipitation in volume,4150,1982,3699,,
Colombia,44,Long-term average annual precipitation in volume,4150,1987,3699,,
Colombia,44,Long-term average annual precipitation in volume,4150,1992,3699,,
Colombia,44,Long-term average annual precipitation in volume,4150,1997,3699,,
Colombia,44,Long-term average annual precipitation in volume,4150,2002,3699,,
Colombia,44,Long-term average annual precipitation in volume,4150,2007,3699,,
Colombia,44,Long-term average annual precipitation in volume,4150,2012,3699,,
Colombia,44,Long-term average annual precipitation in volume,4150,2016,3699,K,
Colombia,44,National Rainfall Index (NRI),4472,1978,2877,E,
Colombia,44,National Rainfall Index (NRI),4472,1986,2862,E,
Colombia,44,National Rainfall Index (NRI),4472,1989,2821,E,
Colombia,44,National Rainfall Index (NRI),4472,1994,3063,E,
Colombia,44,National Rainfall Index (NRI),4472,2000,2862,E,
Colombia,44,Surface water produced internally,4155,1982,2145,,
Colombia,44,Surface water produced internally,4155,1987,2145,,
Colombia,44,Surface water produced internally,4155,1992,2145,,
Colombia,44,Surface water produced internally,4155,1997,2145,,
Colombia,44,Surface water produced internally,4155,2002,2145,,
Colombia,44,Surface water produced internally,4155,2007,2145,,
Colombia,44,Surface water produced internally,4155,2012,2145,,
Colombia,44,Surface water produced internally,4155,2014,2145,,
Colombia,44,Groundwater produced internally,4154,1982,510,,
Colombia,44,Groundwater produced internally,4154,1987,510,,
Colombia,44,Groundwater produced internally,4154,1992,510,,
Colombia,44,Groundwater produced internally,4154,1997,510,,
Colombia,44,Groundwater produced internally,4154,2002,510,,
Colombia,44,Groundwater produced internally,4154,2007,510,,
Colombia,44,Groundwater produced internally,4154,2012,510,,
Colombia,44,Groundwater produced internally,4154,2014,510,,
Colombia,44,Overlap between surface water and groundwater,4156,1982,510,,
Colombia,44,Overlap between surface water and groundwater,4156,1987,510,,
Colombia,44,Overlap between surface water and groundwater,4156,1992,510,,
Colombia,44,Overlap between surface water and groundwater,4156,1997,510,,
Colombia,44,Overlap between surface water and groundwater,4156,2002,510,,
Colombia,44,Overlap between surface water and groundwater,4156,2007,510,,
Colombia,44,Overlap between surface water and groundwater,4156,2012,510,,
Colombia,44,Overlap between surface water and groundwater,4156,2014,510,,
Colombia,44,Total internal renewable water resources (IRWR),4157,1982,2145,,
Colombia,44,Total internal renewable water resources (IRWR),4157,1987,2145,,
Colombia,44,Total internal renewable water resources (IRWR),4157,1992,2145,,
Colombia,44,Total internal renewable water resources (IRWR),4157,1997,2145,,
Colombia,44,Total internal renewable water resources (IRWR),4157,2002,2145,,
Colombia,44,Total internal renewable water resources (IRWR),4157,2007,2145,,
Colombia,44,Total internal renewable water resources (IRWR),4157,2012,2145,,
Colombia,44,Total internal renewable water resources (IRWR),4157,2014,2145,,
Colombia,44,Total internal renewable water resources per capita,4158,1982,73897,K,
Colombia,44,Total internal renewable water resources per capita,4158,1987,66359,K,
Colombia,44,Total internal renewable water resources per capita,4158,1992,60322,K,
Colombia,44,Total internal renewable water resources per capita,4158,1997,55505,K,
Colombia,44,Total internal renewable water resources per capita,4158,2002,51597,K,
Colombia,44,Total internal renewable water resources per capita,4158,2007,48338,K,
Colombia,44,Total internal renewable water resources per capita,4158,2012,45754,K,
Colombia,44,Total internal renewable water resources per capita,4158,2014,44475,K,
Colombia,44,Surface water: entering the country (total),4159,1982,215,,[9]
Colombia,44,Surface water: entering the country (total),4159,1987,215,,[10]
Colombia,44,Surface water: entering the country (total),4159,1992,215,,[11]
Colombia,44,Surface water: entering the country (total),4159,1997,215,,[12]
Colombia,44,Surface water: entering the country (total),4159,2002,215,,[13]
Colombia,44,Surface water: entering the country (total),4159,2007,215,,[14]
Colombia,44,Surface water: entering the country (total),4159,2012,215,,[15]
Colombia,44,Surface water: entering the country (total),4159,2014,215,,[16]
Colombia,44,Surface water: inflow not submitted to treaties,4160,1982,215,,
Colombia,44,Surface water: inflow not submitted to treaties,4160,1987,215,,
Colombia,44,Surface water: inflow not submitted to treaties,4160,1992,215,,
Colombia,44,Surface water: inflow not submitted to treaties,4160,1997,215,,
Colombia,44,Surface water: inflow not submitted to treaties,4160,2002,215,,
Colombia,44,Surface water: inflow not submitted to treaties,4160,2007,215,,
Colombia,44,Surface water: inflow not submitted to treaties,4160,2012,215,,
Colombia,44,Surface water: inflow not submitted to treaties,4160,2014,215,,
Colombia,44,Surface water: inflow submitted to treaties,4161,1982,0,,
Colombia,44,Surface water: inflow submitted to treaties,4161,1987,0,,
Colombia,44,Surface water: inflow submitted to treaties,4161,1992,0,,
Colombia,44,Surface water: inflow submitted to treaties,4161,1997,0,,
Colombia,44,Surface water: inflow submitted to treaties,4161,2002,0,,
Colombia,44,Surface water: inflow submitted to treaties,4161,2007,0,,
Colombia,44,Surface water: inflow submitted to treaties,4161,2012,0,,
Colombia,44,Surface water: inflow submitted to treaties,4161,2014,0,,
Colombia,44,Surface water: inflow secured through treaties,4162,1982,0,,
Colombia,44,Surface water: inflow secured through treaties,4162,1987,0,,
Colombia,44,Surface water: inflow secured through treaties,4162,1992,0,,
Colombia,44,Surface water: inflow secured through treaties,4162,1997,0,,
Colombia,44,Surface water: inflow secured through treaties,4162,2002,0,,
Colombia,44,Surface water: inflow secured through treaties,4162,2007,0,,
Colombia,44,Surface water: inflow secured through treaties,4162,2012,0,,
Colombia,44,Surface water: inflow secured through treaties,4162,2014,0,,
Colombia,44,Surface water: total flow of border rivers,4165,1982,0,,
Colombia,44,Surface water: total flow of border rivers,4165,1987,0,,
Colombia,44,Surface water: total flow of border rivers,4165,1992,0,,
Colombia,44,Surface water: total flow of border rivers,4165,1997,0,,
Colombia,44,Surface water: total flow of border rivers,4165,2002,0,,
Colombia,44,Surface water: total flow of border rivers,4165,2007,0,,
Colombia,44,Surface water: total flow of border rivers,4165,2012,0,,
Colombia,44,Surface water: total flow of border rivers,4165,2014,0,,
Colombia,44,Surface water: accounted flow of border rivers,4168,1982,0,,
Colombia,44,Surface water: accounted flow of border rivers,4168,1987,0,,
Colombia,44,Surface water: accounted flow of border rivers,4168,1992,0,,
Colombia,44,Surface water: accounted flow of border rivers,4168,1997,0,,
Colombia,44,Surface water: accounted flow of border rivers,4168,2002,0,,
Colombia,44,Surface water: accounted flow of border rivers,4168,2007,0,,
Colombia,44,Surface water: accounted flow of border rivers,4168,2012,0,,
Colombia,44,Surface water: accounted flow of border rivers,4168,2014,0,,
Colombia,44,Surface water: accounted inflow,4164,1982,215,,
Colombia,44,Surface water: accounted inflow,4164,1987,215,,
Colombia,44,Surface water: accounted inflow,4164,1992,215,,
Colombia,44,Surface water: accounted inflow,4164,1997,215,,
Colombia,44,Surface water: accounted inflow,4164,2002,215,,
Colombia,44,Surface water: accounted inflow,4164,2007,215,,
Colombia,44,Surface water: accounted inflow,4164,2012,215,,
Colombia,44,Surface water: accounted inflow,4164,2014,215,,
Colombia,44,Surface water: leaving the country to other countries (total),4171,1982,1375,,"[17,18]"
Colombia,44,Surface water: leaving the country to other countries (total),4171,1987,1375,,"[19,20]"
Colombia,44,Surface water: leaving the country to other countries (total),4171,1992,1375,,"[21,22]"
Colombia,44,Surface water: leaving the country to other countries (total),4171,1997,1375,,"[23,24]"
Colombia,44,Surface water: leaving the country to other countries (total),4171,2002,1375,,"[25,26]"
Colombia,44,Surface water: leaving the country to other countries (total),4171,2007,1375,,"[27,28]"
Colombia,44,Surface water: leaving the country to other countries (total),4171,2012,1375,,"[29,30]"
Colombia,44,Surface water: leaving the country to other countries (total),4171,2014,1375,,"[31,32]"
Colombia,44,Surface water: outflow to other countries not submitted to treaties,4172,1982,1375,,
Colombia,44,Surface water: outflow to other countries not submitted to treaties,4172,1987,1375,,
Colombia,44,Surface water: outflow to other countries not submitted to treaties,4172,1992,1375,,
Colombia,44,Surface water: outflow to other countries not submitted to treaties,4172,1997,1375,,
Colombia,44,Surface water: outflow to other countries not submitted to treaties,4172,2002,1375,,
Colombia,44,Surface water: outflow to other countries not submitted to treaties,4172,2007,1375,,
Colombia,44,Surface water: outflow to other countries not submitted to treaties,4172,2012,1375,,
Colombia,44,Surface water: outflow to other countries not submitted to treaties,4172,2014,1375,,
Colombia,44,Surface water: outflow to other countries submitted to treaties,4173,1982,0,,
Colombia,44,Surface water: outflow to other countries submitted to treaties,4173,1987,0,,
Colombia,44,Surface water: outflow to other countries submitted to treaties,4173,1992,0,,
Colombia,44,Surface water: outflow to other countries submitted to treaties,4173,1997,0,,
Colombia,44,Surface water: outflow to other countries submitted to treaties,4173,2002,0,,
Colombia,44,Surface water: outflow to other countries submitted to treaties,4173,2007,0,,
Colombia,44,Surface water: outflow to other countries submitted to treaties,4173,2012,0,,
Colombia,44,Surface water: outflow to other countries submitted to treaties,4173,2014,0,,
Colombia,44,Surface water: outflow to other countries secured through treaties,4174,1982,0,,
Colombia,44,Surface water: outflow to other countries secured through treaties,4174,1987,0,,
Colombia,44,Surface water: outflow to other countries secured through treaties,4174,1992,0,,
Colombia,44,Surface water: outflow to other countries secured through treaties,4174,1997,0,,
Colombia,44,Surface water: outflow to other countries secured through treaties,4174,2002,0,,
Colombia,44,Surface water: outflow to other countries secured through treaties,4174,2007,0,,
Colombia,44,Surface water: outflow to other countries secured through treaties,4174,2012,0,,
Colombia,44,Surface water: outflow to other countries secured through treaties,4174,2014,0,,
Colombia,44,Surface water: total external renewable,4176,1982,215,,
Colombia,44,Surface water: total external renewable,4176,1987,215,,
Colombia,44,Surface water: total external renewable,4176,1992,215,,
Colombia,44,Surface water: total external renewable,4176,1997,215,,
Colombia,44,Surface water: total external renewable,4176,2002,215,,
Colombia,44,Surface water: total external renewable,4176,2007,215,,
Colombia,44,Surface water: total external renewable,4176,2012,215,,
Colombia,44,Surface water: total external renewable,4176,2014,215,,
Colombia,44,Groundwater: entering the country (total),4177,1982,0,,
Colombia,44,Groundwater: entering the country (total),4177,1987,0,,
Colombia,44,Groundwater: entering the country (total),4177,1992,0,,
Colombia,44,Groundwater: entering the country (total),4177,1997,0,,
Colombia,44,Groundwater: entering the country (total),4177,2002,0,,
Colombia,44,Groundwater: entering the country (total),4177,2007,0,,
Colombia,44,Groundwater: entering the country (total),4177,2012,0,,
Colombia,44,Groundwater: entering the country (total),4177,2014,0,,
Colombia,44,Groundwater: accounted inflow,4452,1982,0,,
Colombia,44,Groundwater: accounted inflow,4452,1987,0,,
Colombia,44,Groundwater: accounted inflow,4452,1992,0,,
Colombia,44,Groundwater: accounted inflow,4452,1997,0,,
Colombia,44,Groundwater: accounted inflow,4452,2002,0,,
Colombia,44,Groundwater: accounted inflow,4452,2007,0,,
Colombia,44,Groundwater: accounted inflow,4452,2012,0,,
Colombia,44,Groundwater: accounted inflow,4452,2014,0,,
Colombia,44,Groundwater: leaving the country to other countries (total),4178,1982,0,,
Colombia,44,Groundwater: leaving the country to other countries (total),4178,1987,0,,
Colombia,44,Groundwater: leaving the country to other countries (total),4178,1992,0,,
Colombia,44,Groundwater: leaving the country to other countries (total),4178,1997,0,,
Colombia,44,Groundwater: leaving the country to other countries (total),4178,2002,0,,
Colombia,44,Groundwater: leaving the country to other countries (total),4178,2007,0,,
Colombia,44,Groundwater: leaving the country to other countries (total),4178,2012,0,,
Colombia,44,Groundwater: leaving the country to other countries (total),4178,2014,0,,
Colombia,44,Groundwater: accounted outflow to other countries,4453,1982,0,I,
Colombia,44,Groundwater: accounted outflow to other countries,4453,1987,0,I,
Colombia,44,Groundwater: accounted outflow to other countries,4453,1992,0,I,
Colombia,44,Groundwater: accounted outflow to other countries,4453,1997,0,I,
Colombia,44,Groundwater: accounted outflow to other countries,4453,2002,0,I,
Colombia,44,Groundwater: accounted outflow to other countries,4453,2007,0,I,
Colombia,44,Groundwater: accounted outflow to other countries,4453,2012,0,I,
Colombia,44,Groundwater: accounted outflow to other countries,4453,2014,0,I,
Colombia,44,Water resources: total external renewable,4182,1982,215,,
Colombia,44,Water resources: total external renewable,4182,1987,215,,
Colombia,44,Water resources: total external renewable,4182,1992,215,,
Colombia,44,Water resources: total external renewable,4182,1997,215,,
Colombia,44,Water resources: total external renewable,4182,2002,215,,
Colombia,44,Water resources: total external renewable,4182,2007,215,,
Colombia,44,Water resources: total external renewable,4182,2012,215,,
Colombia,44,Water resources: total external renewable,4182,2014,215,,
Colombia,44,Total renewable surface water,4185,1982,2360,,
Colombia,44,Total renewable surface water,4185,1987,2360,,
Colombia,44,Total renewable surface water,4185,1992,2360,,
Colombia,44,Total renewable surface water,4185,1997,2360,,
Colombia,44,Total renewable surface water,4185,2002,2360,,
Colombia,44,Total renewable surface water,4185,2007,2360,,
Colombia,44,Total renewable surface water,4185,2012,2360,,
Colombia,44,Total renewable surface water,4185,2014,2360,,
Colombia,44,Total renewable groundwater,4187,1982,510,,
Colombia,44,Total renewable groundwater,4187,1987,510,,
Colombia,44,Total renewable groundwater,4187,1992,510,,
Colombia,44,Total renewable groundwater,4187,1997,510,,
Colombia,44,Total renewable groundwater,4187,2002,510,,
Colombia,44,Total renewable groundwater,4187,2007,510,,
Colombia,44,Total renewable groundwater,4187,2012,510,,
Colombia,44,Total renewable groundwater,4187,2014,510,,
Colombia,44,Overlap: between surface water and groundwater,4536,1982,510,,
Colombia,44,Overlap: between surface water and groundwater,4536,1987,510,,
Colombia,44,Overlap: between surface water and groundwater,4536,1992,510,,
Colombia,44,Overlap: between surface water and groundwater,4536,1997,510,,
Colombia,44,Overlap: between surface water and groundwater,4536,2002,510,,
Colombia,44,Overlap: between surface water and groundwater,4536,2007,510,,
Colombia,44,Overlap: between surface water and groundwater,4536,2012,510,,
Colombia,44,Overlap: between surface water and groundwater,4536,2014,510,,
Colombia,44,Total renewable water resources,4188,1982,2360,,
Colombia,44,Total renewable water resources,4188,1987,2360,,
Colombia,44,Total renewable water resources,4188,1992,2360,,
Colombia,44,Total renewable water resources,4188,1997,2360,,
Colombia,44,Total renewable water resources,4188,2002,2360,,
Colombia,44,Total renewable water resources,4188,2007,2360,,
Colombia,44,Total renewable water resources,4188,2012,2360,,
Colombia,44,Total renewable water resources,4188,2014,2360,,
Colombia,44,Dependency ratio,4192,1982,9.11,,
Colombia,44,Dependency ratio,4192,1987,9.11,,
Colombia,44,Dependency ratio,4192,1992,9.11,,
Colombia,44,Dependency ratio,4192,1997,9.11,,
Colombia,44,Dependency ratio,4192,2002,9.11,,
Colombia,44,Dependency ratio,4192,2007,9.11,,
Colombia,44,Dependency ratio,4192,2012,9.11,,
Colombia,44,Dependency ratio,4192,2014,9.11,,
Colombia,44,Total renewable water resources per capita,4190,1982,81304,K,
Colombia,44,Total renewable water resources per capita,4190,1987,73011,K,
Colombia,44,Total renewable water resources per capita,4190,1992,66369,K,
Colombia,44,Total renewable water resources per capita,4190,1997,61069,K,
Colombia,44,Total renewable water resources per capita,4190,2002,56769,K,
Colombia,44,Total renewable water resources per capita,4190,2007,53183,K,
Colombia,44,Total renewable water resources per capita,4190,2012,50340,K,
Colombia,44,Total renewable water resources per capita,4190,2014,48933,K,
Colombia,44,Interannual variability (WRI),4541,2013,1.3,E,
Colombia,44,Seasonal variability (WRI),4542,2013,1.5,E,
Colombia,44,Total dam capacity,4197,1980,6.569,L,
Colombia,44,Total dam capacity,4197,1985,7.493,L,
Colombia,44,Total dam capacity,4197,1990,8.001,L,
Colombia,44,Total dam capacity,4197,1995,8.83,L,
Colombia,44,Total dam capacity,4197,2000,10.69,L,
Colombia,44,Total dam capacity,4197,2005,11.11,L,
Colombia,44,Total dam capacity,4197,2010,11.28,,
Colombia,44,Total dam capacity,4197,2015,11.28,L,
Colombia,44,Dam capacity per capita,4471,1980,226.3,K,
Colombia,44,Dam capacity per capita,4471,1985,231.8,K,
Colombia,44,Dam capacity per capita,4471,1990,225,K,
Colombia,44,Dam capacity per capita,4471,1995,228.5,K,
Colombia,44,Dam capacity per capita,4471,2000,257.1,K,
Colombia,44,Dam capacity per capita,4471,2005,250.4,K,
Colombia,44,Dam capacity per capita,4471,2010,240.6,K,
Colombia,44,Dam capacity per capita,4471,2015,233.9,K,
Colombia,44,Agricultural water withdrawal,4250,1996,3.308,,
Colombia,44,Agricultural water withdrawal,4250,2000,4.92,L,
Colombia,44,Agricultural water withdrawal,4250,2008,6.391,I,
Colombia,44,Industrial water withdrawal,4252,2000,0.359,,
Colombia,44,Industrial water withdrawal,4252,2008,2.242,,[33]
Colombia,44,Municipal water withdrawal,4251,2000,2.467,,
Colombia,44,Municipal water withdrawal,4251,2008,3.134,,[34]
Colombia,44,Total water withdrawal,4253,2000,7.746,I,
Colombia,44,Total water withdrawal,4253,2008,11.77,I,
Colombia,44,Irrigation water withdrawal,4475,2010,5.867,L,
Colombia,44,Irrigation water requirement,4260,2011,2.273,L,
Colombia,44,Agricultural water withdrawal as % of total water withdrawal,4254,2000,63.52,I,
Colombia,44,Agricultural water withdrawal as % of total water withdrawal,4254,2008,54.3,I,
Colombia,44,Industrial water withdrawal as % of total water withdrawal,4256,2000,4.635,I,
Colombia,44,Industrial water withdrawal as % of total water withdrawal,4256,2008,19.05,I,
Colombia,44,Municipal water withdrawal as % of total withdrawal,4255,2000,31.85,I,
Colombia,44,Municipal water withdrawal as % of total withdrawal,4255,2008,26.63,I,
Colombia,44,Total water withdrawal per capita,4257,2000,186.3,K,
Colombia,44,Total water withdrawal per capita,4257,2008,251.1,K,
Colombia,44,Environmental Flow Requirements,4549,1982,984.6,E,[35]
Colombia,44,Environmental Flow Requirements,4549,1987,984.6,E,[36]
Colombia,44,Environmental Flow Requirements,4549,1992,984.6,E,[37]
Colombia,44,Environmental Flow Requirements,4549,1997,984.6,E,[38]
Colombia,44,Environmental Flow Requirements,4549,2002,984.6,E,[39]
Colombia,44,Environmental Flow Requirements,4549,2007,984.6,E,[40]
Colombia,44,Environmental Flow Requirements,4549,2012,984.6,E,[41]
Colombia,44,Environmental Flow Requirements,4549,2017,984.6,E,[42]
Colombia,44,Fresh surface water withdrawal (primary and secondary),4261,2008,10.69,I,
Colombia,44,Fresh groundwater withdrawal (primary and secondary),4262,2008,1.073,,
Colombia,44,Total freshwater withdrawal (primary and secondary),4263,2000,7.746,I,
Colombia,44,Total freshwater withdrawal (primary and secondary),4263,2008,11.77,I,
Colombia,44,Produced municipal wastewater,4269,1996,2.094,,"[43,44,45]"
Colombia,44,Produced municipal wastewater,4269,2004,2.11,,"[46,47]"
Colombia,44,Produced municipal wastewater,4269,2010,2.397,,"[48,49,50]"
Colombia,44,Collected municipal wastewater,4493,1993,,,[51]
Colombia,44,Collected municipal wastewater,4493,2005,,,"[52,53]"
Colombia,44,Collected municipal wastewater,4493,2008,0.552,,[54]
Colombia,44,Treated municipal wastewater,4270,1996,0.142,,
Colombia,44,Treated municipal wastewater,4270,2007,,,[55]
Colombia,44,Treated municipal wastewater,4270,2008,0.154,,
Colombia,44,Number of municipal wastewater treatment facilities,4515,2002,,,[56]
Colombia,44,Number of municipal wastewater treatment facilities,4515,2006,411,,
Colombia,44,Capacity of the municipal wastewater treatment facilities,4516,2010,0.608,,
Colombia,44,Not treated municipal wastewater,4491,1996,1.952,,
Colombia,44,Not treated municipal wastewater,4491,2010,1.8,I,
Colombia,44,Treated municipal wastewater discharged (secondary water),4510,2003,,,[57]
Colombia,44,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275,1996,0.42,,
Colombia,44,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275,2000,0.3282,I,
Colombia,44,MDG 7.5. Freshwater withdrawal as % of total renewable water resources,4275,2008,0.4987,I,
Colombia,44,Agricultural water withdrawal as % of total renewable water resources,4273,1996,0.15,,
Colombia,44,Agricultural water withdrawal as % of total renewable water resources,4273,2000,0.2085,I,
Colombia,44,Agricultural water withdrawal as % of total renewable water resources,4273,2008,0.2708,I,
Colombia,44,SDG 6.4.2. Water Stress,4550,2000,0.5632,K,
Colombia,44,SDG 6.4.2. Water Stress,4550,2008,0.8558,K,
Colombia,44,Irrigation potential,4307,1982,7600,,
Colombia,44,Irrigation potential,4307,1987,7600,,
Colombia,44,Irrigation potential,4307,1992,7600,,
Colombia,44,Irrigation potential,4307,1997,7600,,
Colombia,44,Irrigation potential,4307,2002,7600,,
Colombia,44,Irrigation potential,4307,2007,7600,,
Colombia,44,Irrigation potential,4307,2012,7600,,
